outcome,modifier,strata,estimate,rr,low,high,p_diff,p_diff_sign
Acute lower RI,Country,Australia,"1.015 (1.008, 1.023)",1.01540766982156,1.0079203542904,1.02295060472148,,
Acute lower RI,Country,Brazil,"1.006 (1.000, 1.012)",1.00585795411838,0.999775608499762,1.01197730296844,0.053,
Acute lower RI,Country,Canada,"1.015 (0.996, 1.034)",1.01483649601341,0.996042322857171,1.03398529360329,0.956,
Acute lower RI,Country,Chile,"0.977 (0.937, 1.018)",0.976520496458854,0.937058022158311,1.01764486024873,0.068,
Acute lower RI,Country,New Zealand,"1.004 (0.984, 1.024)",1.00426279359418,0.984485494831184,1.02443739790246,0.308,
Acute lower RI,Country,Thailand,"0.971 (0.953, 0.989)*",0.970707656336271,0.952742781705263,0.989011275827598,0,*
COPD,Country,Australia,"1.007 (0.999, 1.015)",1.00661193200847,0.998611107514851,1.01467685872575,,
COPD,Country,Brazil,"1.012 (1.005, 1.019)",1.01197198502017,1.00498505170886,1.01900749341926,0.325,
COPD,Country,Canada,"1.022 (1.005, 1.040)",1.02223648430471,1.00453339934297,1.04025155413163,0.116,
COPD,Country,Chile,"1.003 (0.979, 1.027)",1.00292796647223,0.979227912089905,1.02720162845989,0.776,
COPD,Country,New Zealand,"1.004 (0.982, 1.027)",1.00411615817379,0.981716073812009,1.02702735139158,0.839,
COPD,Country,Thailand,"0.993 (0.979, 1.007)",0.992990132844831,0.97941267608779,1.00675581192785,0.093,
Asthma,Country,Australia,"1.007 (0.996, 1.018)",1.00736388017039,0.996459251139561,1.01838784266534,,
Asthma,Country,Brazil,"1.009 (1.000, 1.018)",1.00932725125163,1.0003797286003,1.01835480167573,0.786,
Asthma,Country,Canada,"1.054 (1.013, 1.097)*",1.05392007738569,1.01284243265145,1.09666369981055,0.032,*
Asthma,Country,Chile,"0.990 (0.950, 1.031)",0.989925870228694,0.950093428006665,1.03142827816841,0.421,
Asthma,Country,New Zealand,"1.020 (0.985, 1.057)",1.01991977186792,0.984556318021064,1.05655341599754,0.511,
Asthma,Country,Thailand,"1.005 (0.986, 1.024)",1.00450641171059,0.985846332199407,1.02351968883076,0.797,
Respiratory diseases,GDP per capita,Lower,"1.020 (1.010, 1.029)*",1.01980796718304,1.01031378369651,1.02939137000077,0.005,*
Acute upper RI,GDP per capita,Lower,"1.030 (1.010, 1.050)*",1.03018782954848,1.01027360587447,1.05049459669016,0.005,*
Pneumonia,GDP per capita,Lower,"1.017 (1.006, 1.029)",1.01733108156684,1.00624143594342,1.02854294461807,0.073,
Acute lower RI,GDP per capita,Lower,"1.016 (1.005, 1.027)",1.01626845480024,1.00522251646767,1.02743577198341,0.521,
COPD,GDP per capita,Lower,"1.022 (1.011, 1.033)*",1.02226986369255,1.0113704396021,1.0332867496356,0.022,*
